CASEID,W1_CASEID,W2_CASEID2,W1_F3,W1_F4_B,W1_F4_D,W1_F5_A,W1_F6,PPAGECAT,PPGENDER,PPMARIT,PPINCIMP,PPETHM
290,302,661,3,3,2,3,5,4,2,2,1,2
291,303, ,1,1,1,2,8,1,2,5,2,2
292,304,961,5,2,1,1,4,2,1,1,13,1
293,305,317,-1,2,2,2,-1,4,1,5,3,2
294,306,689,4,3,3,2,5,4,1,5,7,2
295,307,1365,6,1,1,1,7,6,2,3,8,1
296,308,674,5,1,1,2,3,1,2,5,17,1
297,309,175,1,4,4,1,9,1,2,6,18,2
298,310,63,1,3,2,4,8,7,1,1,16,2
299,311, ,3,1,1,3,6,2,2,6,13,2
300,312,1109,-1,2,2,4,10,3,1,1,19,1
301,313,1236,6,1,1,1,7,4,2,1,10,1
302,314,275,1,2,2,3,5,2,1,5,12,2
303,315, ,2,2,1,4,8,7,2,3,11,2
304,316, ,5,2,2,2,7,3,1,1,4,4
305,317,492,3,3,1,2,7,1,2,5,12,4
306,318,318,7,1,1,1,2,4,1,5,1,2
307,319,808,5,2,1,2,4,4,2,5,12,1
308,320,1222,3,3,2,4,7,2,2,1,15,2
309,322,197,2,2,1,1,8,2,2,1,14,1
310,323,1148,4,4,4,4,5,7,1,1,11,2
311,324,199,5,2,1,2,10,6,2,1,13,1
312,325, ,3,1,1,2,4,4,2,1,2,2
313,326,1533,1,2,2,2,6,5,1,1,13,2
314,327,1573,5,1,1,2,4,4,2,3,3,2
315,328, ,-1,-1,-1,-1,1,5,1,1,18,2
316,329,1092,4,2,2,3,5,5,1,1,14,2
317,330,142,2,2,1,2,4,4,2,1,7,2
318,331, ,1,3,2,2,9,6,2,1,17,1
319,332,582,2,3,2,2,10,2,2,5,14,2
320,333, ,3,2,1,4,7,4,2,1,16,1
321,334,1382,1,2,2,2,5,5,2,1,11,2
322,335,694,3,2,1,2,3,4,1,1,10,4
323,336,1209,1,-1,1,3,7,4,2,3,4,2
324,337,1038,2,2,2,2,6,3,1,1,15,2
325,338,604,4,1,2,2,6,5,2,1,16,2
326,339,1267,2,3,3,2,7,6,2,5,9,1
327,340,1392,4,2,2,2,6,1,2,5,9,4
328,341,819,2,2,2,3,9,4,2,4,3,2
329,342,711,2,2,2,3,7,5,2,1,3,2
330,343,822,4,1,1,1,6,1,1,6,1,2
331,344,735,5,1,1,1,7,4,1,3,12,1
332,345, ,4,3,3,3,6,2,1,5,13,2
333,346,287,1,2,1,3,7,3,2,1,17,2
334,347,498,1,2,3,3,7,7,2,2,7,2
335,348,549,3,2,1,1,6,6,1,2,16,2
336,349,774,2,2,2,2,6,4,1,1,12,2
337,350,475,3,2,2,2,7,1,2,5,17,1
338,351,759,5,1,1,1,3,3,1,1,15,1
339,352, ,3,1,1,3,7,2,2,1,7,1
340,353,233,6,2,1,1,7,7,1,1,10,1
341,354,1334,4,1,1,3,4,1,1,4,11,2
342,355,51,1,2,2,3,8,5,2,5,11,2
343,356, ,2,3,2,2,8,5,2,1,17,1
344,357, ,3,1,1,1,8,4,2,1,18,1
345,358,482,5,1,1,4,5,4,1,1,7,1
346,359, ,7,2,1,2,6,1,2,1,12,2
347,360,739,6,1,1,1,8,5,2,1,17,2
348,361,93,2,2,1,2,10,6,1,1,16,1
349,362,255,3,2,2,3,7,7,2,1,11,1
350,363,548,3,2,1,2,7,4,1,3,12,1
351,364, ,4,2,2,3,6,4,1,1,17,1
352,365, ,4,2,2,2,5,2,2,5,1,2
353,366,665,1,3,4,3,9,4,1,1,18,2
354,367,651,4,2,1,1,6,1,2,5,1,2
355,368, ,1,4,4,4,10,3,1,6,2,2
356,369,753,3,2,1,2,6,1,1,5,2,2
357,370,560,7,1,1,2,6,6,2,1,11,1
358,371,1333,3,1,1,2,3,4,1,5,8,1
359,372,512,1,3,1,2,8,4,2,6,18,2
360,373,846,7,1,1,1,1,1,1,6,1,2
361,374,1289,1,2,2,4,10,1,2,5,14,2
362,375,623,2,2,2,2,5,5,1,3,4,2
363,376,1230,1,1,4,4,9,5,1,1,4,1
364,377,742,1,4,1,1,6,2,2,6,1,2
365,378,1257,3,1,1,1,1,4,1,1,2,5
366,379,11,1,4,4,4,10,5,1,6,8,2
367,380,1054,3,1,1,2,3,5,2,1,12,1
368,381,622,5,2,2,3,7,4,1,1,12,4
369,382,13,3,2,1,1,6,3,2,1,19,1
370,383,764,2,1,1,3,7,7,2,1,14,1
371,384,778,5,2,2,2,6,4,2,5,9,2
372,385, ,4,4,4,4,10,3,1,5,3,1
373,386,1301,1,2,2,1,5,6,2,1,8,1
374,387,1436,2,-1,1,1,8,6,1,1,17,5
375,388, ,2,3,2,4,5,2,2,3,8,2
376,389,8,3,2,1,1,8,1,2,5,14,3
377,390,272,3,2,1,2,7,4,1,4,6,3
378,391,782,2,4,4,3,10,2,2,1,13,1
379,392,751,4,2,2,2,6,3,1,1,13,1
380,393,481,3,2,2,2,5,6,2,1,16,1
381,394,259,1,1,3,3,10,4,1,5,2,2
382,395,816,3,1,2,2,7,3,2,1,16,3
383,396,1442,2,3,2,3,7,5,2,5,12,2
384,397,559,6,1,1,2,5,1,2,1,6,2
385,398,530,2,2,2,2,8,4,1,5,12,2
386,399,471,3,2,2,2,5,1,1,5,5,1
387,400,856,6,1,1,2,4,5,1,5,2,2
388,401,1500,3,1,2,2,5,1,2,6,12,4
389,402,1587,5,3,1,2,8,6,1,3,14,2
390,403,884,1,1,1,1,5,4,2,1,2,1
391,405,90,2,1,1,2,5,5,2,2,11,2
392,406,347,3,1,1,1,6,3,1,1,13,1
393,407,495,3,3,1,3,5,2,2,6,1,2
394,408,935,7,1,1,1,4,6,2,1,14,1
395,409,1086,5,2,1,2,5,4,1,1,9,1
396,410,157,4,2,1,2,9,1,1,5,12,2
397,412,1241,2,3,3,3,6,2,2,5,6,2
398,413,324,3,2,1,2,7,7,2,1,10,1
399,414,915,3,1,1,2,5,4,2,5,12,2
400,415,733,3,2,1,2,1,4,2,3,6,2
401,416,331,5,2,2,3,8,1,1,5,3,1
402,417, ,1,2,1,3,9,7,1,3,10,1
403,418,745,2,1,1,4,4,3,1,5,12,2
404,419,1105,5,2,1,2,3,2,2,1,9,2
405,420,1602,2,2,1,1,6,3,2,5,13,2
406,421,128,7,1,1,1,2,2,1,3,17,1
407,422,533,1,3,2,3,6,1,2,5,16,2
408,423,621,1,3,2,3,9,5,1,5,8,2
409,424,1049,4,1,1,3,9,7,2,1,18,1
410,425,788,2,2,2,2,9,4,1,1,16,1
411,426, ,2,1,1,4,2,7,2,2,8,2
412,427,664,5,1,1,1,4,5,1,5,7,1
413,428,420,3,2,2,3,10,6,1,1,19,2
414,429,1118,3,3,1,3,7,5,1,3,19,2
415,430,1597,2,2,1,3,6,4,2,6,5,2
416,431,217,2,4,4,3,9,7,1,1,12,1
417,432,557,3,2,1,2,7,6,2,1,13,1
418,433,1445,4,1,1,1,5,5,1,1,13,2
419,434, ,2,3,2,2,9,6,2,1,16,1
420,437,1581,2,1,1,2,10,4,1,1,13,2
421,438, ,6,2,1,3,7,2,1,6,12,1
422,439,809,3,1,1,1,4,4,1,1,16,3
423,440,171,1,1,1,2,4,5,2,6,9,2
424,441,284,5,3,1,4,8,5,1,1,12,1
425,442,3,4,3,3,2,10,2,1,1,15,1
426,443, ,3,1,1,3,5,4,2,3,12,2
427,444,769,3,1,1,2,4,6,2,1,9,1
428,445,308,2,2,2,3,9,6,2,3,19,1
429,446, ,-1,-1,-1,-1,-1,5,2,1,13,1
430,447,28,4,2,2,2,5,3,1,5,3,2
431,448,338,5,1,1,1,6,4,1,1,15,3
432,449,285,3,3,1,3,7,3,1,1,12,4
433,451,1131,4,3,3,2,5,4,2,6,3,2
434,452,507,2,2,2,3,6,4,1,5,12,2
435,453,775,5,1,2,1,8,3,1,1,15,2
436,454,474,3,2,1,2,5,4,1,3,7,2
437,455,754,6,2,1,4,5,3,1,1,12,2
438,456,526,4,2,2,2,4,3,1,1,7,1
439,457,245,5,1,1,1,4,4,2,1,14,1
440,458,35,4,1,1,1,1,5,2,1,7,1
441,459, ,1,4,4,1,5,1,2,5,1,2
442,460,1155,2,2,1,2,8,5,1,1,11,1
443,461,837,6,1,1,2,7,6,1,1,17,1
444,462,1069,5,2,1,1,7,6,2,2,7,2
445,463,1162,5,1,1,2,8,4,1,1,14,1
446,465,384,1,3,1,2,5,4,1,5,4,2
447,466,678,1,3,2,2,7,3,2,5,14,2
448,467,712,2,2,1,3,5,6,1,5,9,2
449,468,692,2,2,2,3,7,4,2,2,16,1
450,469,392,5,2,1,1,6,5,2,1,12,1
451,471, ,7,1,1,1,4,2,1,5,9,1
452,472,698,1,2,1,2,7,6,1,1,7,1
453,473,869,5,-1,1,1,8,2,1,6,3,2
454,474,486,3,4,3,3,9,5,1,1,14,1
455,475,433,1,2,3,1,5,3,2,1,12,2
456,476,1362,3,1,1,4,9,5,2,5,1,2
457,477,654,1,1,4,1,-1,4,2,4,1,2
458,478,441,1,2,1,2,6,4,1,5,5,2
459,479, ,4,2,2,2,10,5,2,2,6,2
460,480,283,3,2,2,2,8,5,2,2,7,1
461,481, ,2,3,2,4,7,3,2,3,13,4
462,482,666,2,2,1,3,3,7,2,2,6,1
463,483, ,1,1,1,2,1,6,2,1,15,2
464,484,501,1,2,2,2,7,7,1,2,8,1
465,485,586,3,1,1,1,5,1,2,5,7,4
466,486,910,3,2,2,2,5,2,1,5,8,2
467,487, ,2,2,2,3,6,1,1,5,8,2
468,488,400,2,2,2,2,4,4,1,1,11,2
469,489,1678,2,3,2,2,10,6,2,1,17,2
470,490,561,-1,2,2,2,5,5,2,5,1,2
471,491,662,3,2,2,2,8,5,1,1,18,1
472,492,803,1,2,2,4,5,3,2,5,10,2
473,493,1021,2,3,2,3,6,1,2,6,16,2
474,494,655,4,1,1,2,5,1,2,5,6,1
475,495,927,2,2,2,3,6,5,1,5,10,2
476,496,269,1,2,1,3,8,6,1,1,11,1
477,497,1180,1,2,3,1,-1,2,1,1,16,4
478,498, ,2,2,1,3,5,4,2,5,10,2
479,499,1632,2,2,3,3,7,2,2,5,2,1
480,500,949,7,2,2,2,5,4,1,1,12,1
481,501,4,2,2,2,1,8,5,2,1,19,1
482,502,1672,7,1,1,1,5,3,1,2,4,1
483,503,1005,4,3,2,3,5,4,1,5,8,2
484,504,189,2,2,2,-1,8,4,1,6,10,2
485,505, ,2,1,1,4,2,3,2,1,12,2
486,506, ,2,2,1,2,5,5,1,6,12,2
487,507,705,1,2,2,2,10,5,1,1,13,2
488,508,12,1,1,1,1,7,3,2,1,7,4
489,509,48,1,1,1,2,6,6,1,2,11,2
490,510,900,3,1,1,2,5,6,1,1,13,1
491,511,216,1,2,2,2,10,4,1,1,16,1
492,512,1304,3,1,1,1,10,3,2,3,3,2
493,513,1485,1,1,1,2,5,3,1,6,3,2
