CASEID,W1_CASEID,W2_CASEID2,W1_F3,W1_F4_B,W1_F4_D,W1_F5_A,W1_F6,PPAGECAT,PPGENDER,PPMARIT,PPINCIMP,PPETHM
1036,1076,571,7,1,1,1,4,3,1,1,10,2
1037,1077,1655,2,3,2,2,8,4,2,1,14,2
1038,1078,328,7,1,1,2,1,5,1,1,6,1
1039,1079, ,5,1,1,1,4,5,2,2,5,1
1040,1080,777,1,3,2,4,10,4,2,3,18,1
1041,1081,946,4,2,1,4,6,5,1,1,7,2
1042,1082,791,5,2,1,3,3,5,2,1,15,2
1043,1083,417,4,1,2,-1,5,6,1,5,8,2
1044,1084, ,2,3,2,3,10,6,2,1,15,1
1045,1085,1294,2,2,2,2,7,4,1,6,13,2
1046,1086, ,5,1,1,2,6,3,1,1,16,1
1047,1087,818,3,1,1,2,3,5,2,1,5,2
1048,1088,847,4,3,3,3,10,4,1,3,12,1
1049,1089,976,5,1,1,2,6,1,2,5,15,1
1050,1090,386,2,1,2,2,6,1,2,5,1,2
1051,1091, ,4,2,2,-1,-1,5,1,1,15,2
1052,1092,737,7,2,1,1,5,6,1,1,13,2
1053,1093, ,5,1,1,2,7,3,2,1,10,1
1054,1094,1554,1,1,1,1,5,6,1,1,5,2
1055,1095,658,1,2,1,1,8,6,2,1,12,1
1056,1096,888,2,3,3,3,8,5,1,1,18,2
1057,1097,1128,2,2,3,3,8,6,1,1,13,1
1058,1098,1293,2,2,1,2,8,5,1,5,13,2
1059,1099,687,7,1,1,1,5,3,1,3,6,1
1060,1100,722,3,1,1,2,6,4,2,1,9,2
1061,1101, ,7,2,2,4,7,2,1,5,9,2
1062,1102,804,2,1,1,1,2,5,1,1,4,1
1063,1103,1263,4,2,2,1,3,5,2,5,1,2
1064,1104, ,2,4,1,3,8,6,1,3,13,1
1065,1105,1431,2,2,2,2,8,5,1,1,13,1
1066,1106,452,2,4,3,4,10,7,2,2,16,1
1067,1107,723,3,2,1,2,4,2,2,3,8,2
1068,1108, ,1,3,2,3,7,3,1,5,11,4
1069,1109,41,2,2,2,2,10,5,1,1,16,1
1070,1110, ,1,2,2,2,7,3,2,4,13,2
1071,1111, ,1,2,2,2,4,1,2,5,1,2
1072,1112,1659,4,3,2,3,8,5,2,1,16,2
1073,1113, ,3,2,2,2,5,3,1,5,12,1
1074,1114, ,3,2,1,3,3,5,2,1,16,2
1075,1115, ,2,2,2,3,7,4,2,3,10,2
1076,1116,358,4,2,2,2,5,4,1,5,4,1
1077,1117,806,3,2,1,2,7,6,1,5,6,2
1078,1118, ,3,1,1,3,6,3,2,1,16,2
1079,1119,102,3,1,1,2,1,4,1,6,6,1
1080,1120,731,1,2,1,2,10,6,1,1,6,1
1081,1121,902,6,1,1,3,5,4,2,2,2,2
1082,1122, ,4,2,3,3,5,2,2,1,13,1
1083,1123,771,3,2,2,2,2,2,1,5,4,4
1084,1124, ,3,2,1,1,6,6,2,3,10,2
1085,1125,1484,3,2,1,2,5,1,2,5,6,1
1086,1126,334,4,2,1,3,8,3,2,1,9,1
1087,1127,541,3,1,1,1,9,5,1,1,15,2
1088,1128,314,4,1,1,1,8,2,1,5,11,2
1089,1129,61,6,1,1,1,10,5,1,1,19,3
1090,1130,844,3,2,1,3,6,4,1,4,11,1
1091,1131, ,2,3,1,2,8,6,1,1,12,2
1092,1132, ,4,3,2,3,10,3,1,1,13,2
1093,1133,1123,2,2,2,2,7,4,1,1,13,2
1094,1134,703,7,1,1,1,3,1,1,5,11,1
1095,1135,1337,7,1,1,1,2,1,1,5,1,2
1096,1136,1368,1,2,2,2,10,6,1,1,14,1
1097,1137,198,4,-1,-1,-1,5,2,2,3,10,4
1098,1138,1107,2,2,2,3,4,3,1,5,10,2
1099,1139,755,3,2,1,2,9,5,1,1,10,1
1100,1140,295,2,1,1,1,1,5,1,1,9,2
1101,1141,1117,-1,2,2,3,6,7,1,3,12,2
1102,1142,1124,4,2,2,2,8,3,2,5,1,2
1103,1143,209,1,1,2,3,8,7,1,1,7,1
1104,1144,690,1,2,1,3,7,4,2,1,16,2
1105,1145,126,1,4,4,4,10,2,2,5,15,2
1106,1146,412,2,1,1,2,8,5,1,1,15,1
1107,1147, ,1,1,1,3,8,6,2,1,13,1
1108,1148, ,7,1,1,2,7,5,2,5,7,1
1109,1149,882,2,1,1,2,5,6,2,3,5,1
1110,1150,1096,3,2,1,1,8,5,1,1,15,2
1111,1151,580,3,3,1,2,7,6,2,3,5,2
1112,1152,1183,6,1,1,2,1,4,1,1,11,1
1113,1153, ,3,2,2,3,8,4,1,5,12,2
1114,1154,516,3,2,2,2,4,2,2,1,1,2
1115,1155, ,3,2,2,2,7,3,2,3,16,2
1116,1156,1233,3,1,1,1,6,3,2,5,12,2
1117,1157,459,1,1,1,4,8,6,1,1,14,2
1118,1158,1341,3,1,2,1,7,7,2,1,9,1
1119,1159,748,2,1,1,2,5,3,1,1,12,2
1120,1160,1307,2,2,2,3,7,4,2,5,6,2
1121,1161, ,1,3,3,4,8,2,1,1,15,1
1122,1162,397,1,3,2,2,10,5,2,1,19,2
1123,1163,69,4,2,2,2,6,3,2,1,10,1
1124,1164, ,3,1,1,1,7,1,2,5,1,2
1125,1165,870,1,3,2,3,10,7,1,1,15,1
1126,1166, ,2,3,3,3,10,7,2,1,16,1
1127,1167,921,3,2,1,1,7,2,1,3,12,2
1128,1168, ,2,1,1,2,6,1,2,5,7,2
1129,1169, ,6,1,2,3,6,1,1,1,11,1
1130,1170, ,1,1,3,1,8,5,2,2,1,2
1131,1171, ,3,1,1,2,7,4,2,1,15,2
1132,1172,1094,1,1,1,1,3,2,2,1,1,2
1133,1173, ,4,-1,-1,-1,5,4,1,5,11,2
1134,1174,37,5,2,3,4,7,4,2,1,14,5
1135,1175, ,1,1,1,1,5,7,2,2,2,2
1136,1176,20,2,2,1,3,7,6,1,1,18,1
1137,1177,636,4,1,2,2,5,1,1,5,10,2
1138,1178,880,3,1,1,1,3,5,1,5,5,2
1139,1179, ,1,3,2,3,6,4,2,3,6,2
1140,1180,537,2,2,1,3,3,4,1,3,9,1
1141,1181,1537,7,2,2,2,8,6,2,1,16,2
1142,1182,1463,3,2,2,4,10,1,1,5,1,2
1143,1183, ,6,2,1,2,5,5,1,2,12,1
1144,1184,1594,2,2,2,3,9,4,1,1,17,1
1145,1185,510,2,3,1,1,7,5,2,3,8,1
1146,1186,922,6,1,1,1,8,4,1,1,11,1
1147,1187, ,6,1,2,2,10,3,2,1,10,2
1148,1188, ,2,2,2,2,8,3,1,1,13,2
1149,1189,738,3,1,1,2,4,4,1,6,8,1
1150,1190,119,3,1,1,2,7,6,2,1,17,2
1151,1191,448,1,2,2,3,8,3,2,5,7,2
1152,1192, ,3,2,1,2,5,7,2,3,15,1
1153,1193,1112,4,1,1,1,5,3,2,1,3,2
1154,1194,1374,2,4,2,4,9,7,1,1,16,2
1155,1195,724,5,2,2,1,8,6,2,1,15,1
1156,1196,1460,1,1,1,4,9,1,2,5,6,2
1157,1197,1519,7,1,1,2,5,5,2,3,12,2
1158,1198,1501,4,-1,-1,-1,4,3,1,1,5,1
1159,1199,487,3,1,1,3,7,3,1,5,10,2
1160,1200, ,3,1,1,2,2,2,2,5,2,2
1161,1201,330,2,1,1,2,6,6,2,3,11,2
1162,1202, ,3,1,1,1,5,3,2,5,2,2
1163,1203, ,1,1,1,1,10,1,2,1,8,2
1164,1204, ,2,2,1,2,7,6,2,3,14,2
1165,1205, ,1,4,1,3,9,5,2,2,8,2
1166,1206, ,3,1,1,3,7,7,1,1,13,2
1167,1207,1090,-1,-1,-1,-1,-1,2,2,5,16,5
1168,1208, ,4,2,2,3,4,4,2,3,1,2
1169,1209, ,1,3,2,3,8,5,1,1,13,1
1170,1210, ,2,1,2,2,7,6,2,1,11,1
1171,1211, ,1,4,4,4,10,2,2,1,8,2
1172,1212,1032,7,2,1,1,7,5,1,1,14,1
1173,1213,776,3,2,2,3,6,1,2,6,12,2
1174,1214, ,6,2,1,2,6,2,1,5,15,2
1175,1215,918,4,3,1,3,10,7,1,2,13,2
1176,1216, ,5,1,1,1,8,6,2,2,4,4
1177,1217, ,2,2,2,2,8,5,2,5,7,2
1178,1218,994,2,2,2,2,9,2,1,6,8,4
1179,1221, ,4,2,2,3,6,5,2,6,16,2
1180,1222,1676,1,3,2,4,10,3,1,1,16,1
1181,1223,1210,1,2,2,2,8,6,2,1,16,1
1182,1224,120,2,1,1,1,4,1,2,5,12,1
1183,1225, ,2,3,3,3,7,3,2,1,16,2
1184,1226,786,5,2,1,-1,5,5,2,2,16,2
1185,1227,485,3,3,1,4,7,6,1,1,13,2
1186,1228,98,3,1,1,-1,6,2,2,5,2,2
1187,1229, ,1,2,2,2,10,2,1,6,11,1
1188,1230,909,3,2,2,3,8,1,1,5,11,2
1189,1231,1226,2,2,2,2,7,3,1,5,11,2
1190,1232,830,1,3,2,3,10,6,1,1,14,2
1191,1233,706,7,1,1,1,5,6,1,1,7,1
1192,1234,138,1,2,1,1,6,3,2,5,10,2
1193,1235, ,2,4,4,4,10,4,2,1,13,2
1194,1236,916,2,1,2,3,4,6,1,1,9,1
1195,1237,1083,2,2,1,1,3,7,1,2,13,5
1196,1238,281,2,2,2,1,10,7,1,2,13,2
1197,1239,643,4,2,1,3,7,2,2,5,10,2
1198,1240, ,3,2,2,2,8,5,2,1,14,1
1199,1241,1674,3,2,2,3,5,2,1,5,11,2
1200,1242, ,3,2,2,3,8,5,1,1,17,2
1201,1243,1101,4,2,1,2,5,6,2,2,1,2
1202,1244, ,6,3,2,2,6,4,1,1,15,1
1203,1245,202,6,1,1,2,6,4,2,1,17,1
1204,1246, ,2,1,1,1,4,1,2,5,8,2
1205,1248,403,2,1,1,2,7,3,1,1,10,2
1206,1250,322,3,3,1,2,7,7,2,2,10,2
1207,1252, ,3,2,2,2,7,3,1,1,10,2
1208,1253,864,7,1,1,1,5,3,1,1,12,1
1209,1254, ,3,1,2,2,6,1,1,5,12,2
1210,1255,829,2,2,2,2,7,5,2,1,16,2
1211,1256,1384,4,1,1,1,8,3,2,5,9,2
1212,1257,461,3,1,1,1,4,2,2,1,6,1
1213,1258,585,3,1,1,1,4,4,2,1,7,1
1214,1259,1158,7,1,1,1,3,4,2,1,11,1
1215,1260,1138,5,2,1,2,8,5,2,1,18,2
1216,1261,1375,4,-1,-1,-1,5,6,2,5,8,1
1217,1262,1397,4,2,1,3,-1,5,2,3,6,2
1218,1263,1104,4,2,1,3,4,6,1,5,5,2
1219,1264,943,2,3,1,3,8,7,1,1,15,1
1220,1265,1348,3,2,1,2,7,4,1,1,15,1
1221,1266,188,2,1,1,2,6,4,1,3,15,2
1222,1267,1511,2,2,2,2,7,4,2,1,19,2
1223,1268,1147,3,2,1,2,3,6,1,4,4,2
1224,1269,1164,2,1,1,3,9,5,2,3,10,2
1225,1270, ,3,2,2,2,5,3,2,3,1,2
1226,1271,450,7,1,2,1,6,6,2,1,17,5
1227,1272,342,1,-1,2,2,10,7,2,1,9,1
1228,1273,903,2,1,1,1,2,4,2,3,1,1
1229,1274,569,3,2,2,2,7,3,2,1,8,1
1230,1275,1142,5,1,1,1,4,5,1,1,15,2
1231,1276,785,6,1,1,1,5,2,2,5,1,2
1232,1277, ,2,2,2,3,7,4,2,3,10,2
1233,1278, ,2,1,1,1,8,6,1,1,15,2
1234,1279,225,4,2,1,1,7,4,2,5,13,2
1235,1280,885,3,1,1,2,3,4,1,3,8,2
1236,1281,355,1,3,2,2,10,5,2,1,17,2
1237,1282,1006,1,3,2,2,8,6,1,1,17,5
1238,1283,1291,4,2,2,1,5,1,1,5,2,2
1239,1284, ,2,1,1,2,3,5,1,1,9,2
1240,1285,372,2,2,1,2,5,4,1,1,15,2
1241,1286, ,1,1,1,1,10,3,1,5,1,4
1242,1287,971,4,2,2,3,10,5,1,5,1,2
1243,1288,795,2,2,2,2,7,5,1,1,14,2
1244,1289, ,3,2,2,1,8,4,1,1,3,2
1245,1290, ,6,1,1,1,4,3,1,1,18,2
1246,1291,813,2,3,3,4,8,6,1,5,4,4
1247,1293,523,1,2,2,1,8,6,1,1,10,1
1248,1294,1332,3,3,2,4,7,5,1,1,19,2
1249,1295,395,3,2,2,2,8,7,1,1,12,1
1250,1296, ,1,2,1,2,5,4,2,5,8,2
1251,1297,1036,2,2,2,3,9,5,2,3,13,1
1252,1298,531,1,1,1,1,4,3,2,4,1,2
1253,1299,1122,2,1,1,1,7,6,1,1,10,2
1254,1300, ,6,3,2,-1,4,6,1,5,10,2
1255,1301,563,2,2,1,2,8,1,1,5,8,1
1256,1302,760,4,2,2,2,3,3,2,1,3,1
1257,1303, ,4,3,3,2,5,1,2,6,9,1
1258,1304,1172,6,3,2,3,10,6,2,1,15,1
1259,1305,1343,2,-1,-1,-1,8,6,2,1,19,4
1260,1306,1408,7,1,1,1,1,4,1,6,13,1
1261,1307,672,2,3,1,2,10,2,2,1,17,2
1262,1308, ,2,1,1,2,8,1,2,5,6,2
1263,1309,476,7,1,1,1,10,1,2,6,5,1
1264,1310,1273,4,2,2,2,7,6,1,1,15,2
1265,1311,1170,2,2,2,3,7,5,2,1,14,1
1266,1312,1391,2,2,2,3,10,4,2,1,18,2
1267,1313,70,1,3,2,2,4,2,1,5,17,1
1268,1314,117,1,1,2,1,5,4,2,3,10,2
1269,1315,805,4,2,2,-1,9,3,1,1,17,1
1270,1316,321,3,1,1,1,7,5,1,1,16,1
1271,1317,650,3,2,1,2,5,2,1,5,6,2
1272,1318,449,2,1,1,1,6,5,1,1,13,2
1273,1319,1557,6,1,1,1,7,5,2,1,19,2
1274,1320, ,4,1,1,1,1,5,1,1,1,1
1275,1321,1203,2,3,1,3,10,7,2,2,4,1
1276,1322,1604,5,1,1,2,6,5,2,6,7,1
1277,1323,1363,4,2,3,2,8,6,1,1,12,1
1278,1324, ,3,3,1,2,9,7,1,1,13,4
1279,1325,430,2,2,1,2,8,7,2,2,10,1
1280,1326,1205,7,1,1,2,1,4,2,1,13,2
1281,1327, ,2,2,2,2,5,6,2,1,10,2
1282,1328,1429,6,2,1,2,3,1,2,5,8,2
1283,1329,1421,3,2,2,3,8,6,2,1,16,3
1284,1330, ,7,1,1,2,3,4,2,1,4,1
1285,1331, ,4,2,2,2,7,6,2,2,2,2
1286,1332,590,1,2,1,3,6,1,2,5,10,4
1287,1333,1194,5,2,1,2,7,4,2,1,16,1
1288,1334,1472,1,2,2,3,7,1,1,1,15,2
1289,1335,1630,2,2,1,2,6,4,2,1,17,2
1290,1336,1206,3,3,3,3,5,4,1,1,18,2
1291,1337, ,3,2,1,3,9,5,2,1,16,2
1292,1338,1084,3,1,1,1,4,4,1,5,11,2
1293,1339,1510,3,2,1,1,6,1,2,3,11,2
1294,1340,9,2,2,1,3,9,5,1,1,14,2
1295,1341,1470,4,2,1,3,3,6,2,3,14,2
1296,1342,1685,1,4,2,4,9,4,2,1,11,1
1297,1343,215,4,3,3,3,10,4,1,3,7,2
1298,1344, ,3,2,2,2,5,3,2,1,18,2
1299,1345,467,2,2,2,3,10,3,1,1,19,1
1300,1347,905,2,2,1,1,3,4,2,5,5,2
1301,1348, ,3,2,4,2,6,3,1,6,1,2
1302,1349,1532,6,1,1,1,8,4,1,1,17,1
1303,1350,534,4,1,1,1,8,4,1,1,15,2
1304,1351, ,2,-1,-1,-1,-1,3,2,5,7,2
1305,1352,166,1,1,1,3,5,5,1,6,9,2
1306,1353,1527,6,2,1,2,7,7,1,3,13,2
1307,1354,1546,3,1,1,3,7,3,1,1,14,1
1308,1355, ,2,1,1,2,3,6,2,1,12,1
1309,1356,1315,2,2,1,3,10,5,2,1,19,2
1310,1357,1308,6,2,1,4,5,4,1,1,18,1
1311,1358,52,4,3,3,2,5,4,1,5,11,2
1312,1359,1512,-1,3,2,2,8,4,2,1,19,1
1313,1360,957,5,2,1,1,7,5,2,4,2,2
1314,1361,514,2,2,1,1,5,4,1,1,7,1
1315,1362, ,3,2,1,2,8,3,2,1,16,2
1316,1363, ,1,1,1,1,7,5,1,1,13,2
1317,1364,1099,7,3,2,2,8,5,1,1,14,1
1318,1365,815,2,2,2,1,7,1,2,5,1,2
1319,1366, ,2,2,2,3,5,3,2,1,18,2
1320,1367,573,2,2,1,2,9,1,1,5,16,1
1321,1368,669,3,1,1,4,7,5,1,1,13,2
1322,1369,1625,3,3,3,2,2,5,2,5,12,4
1323,1370,1190,2,2,2,1,5,3,2,1,14,1
1324,1371,1214,1,3,2,3,8,4,2,5,17,2
1325,1372, ,3,2,2,2,5,3,2,5,15,2
1326,1373,62,1,3,3,-1,8,6,2,1,12,2
1327,1374,1584,3,2,1,1,8,7,2,1,19,2
1328,1375, ,4,1,1,1,5,4,1,1,14,3
1329,1376,1350,5,1,1,1,5,6,1,1,11,1
1330,1377,595,2,1,1,2,7,5,1,2,3,2
1331,1378,258,5,1,1,1,4,5,1,1,8,2
1332,1379,592,3,1,1,1,2,4,1,5,2,2
1333,1380, ,2,1,1,2,8,4,1,1,15,1
1334,1381,229,2,1,1,2,10,3,2,1,17,2
1335,1382, ,6,1,1,2,-1,4,1,6,14,4
1336,1383,440,2,2,2,2,7,4,1,1,19,2
1337,1384,1013,3,1,1,2,8,2,1,6,8,2
1338,1385,1490,3,2,2,2,6,2,1,5,3,2
1339,1386, ,1,2,2,1,6,4,1,1,9,2
1340,1387,857,4,-1,-1,2,-1,7,1,1,15,1
1341,1389,1619,2,3,2,2,9,2,1,1,16,1
1342,1390, ,1,3,3,3,8,3,1,1,10,2
1343,1391,348,3,1,2,2,10,1,2,5,13,1
1344,1392, ,3,1,1,1,1,2,2,5,1,2
1345,1393,770,5,2,1,1,6,7,1,3,10,1
1346,1394, ,2,2,1,2,9,3,1,1,17,1
1347,1395,583,-1,-1,-1,-1,-1,1,1,5,9,2
1348,1396,1048,3,2,2,4,8,5,2,3,7,2
1349,1397,986,4,3,2,2,5,4,2,5,8,2
1350,1398,635,3,1,1,4,6,6,1,1,9,1
1351,1399, ,7,1,1,1,2,4,1,5,5,2
1352,1400,1235,1,1,2,2,10,4,2,3,7,2
1353,1401, ,2,2,1,2,10,3,2,1,19,2
1354,1402, ,6,1,1,1,5,3,2,5,10,2
1355,1403,130,3,1,1,1,4,5,2,1,10,1
1356,1404,174,6,2,1,2,8,6,2,1,16,2
1357,1405, ,1,4,4,4,10,4,2,1,19,2
1358,1406,1079,2,3,1,3,5,1,1,5,7,2
1359,1407,1407,2,2,1,3,6,3,2,5,10,2
1360,1408,638,3,2,1,1,6,4,1,4,13,2
1361,1409,691,2,2,2,3,7,5,1,6,10,2
1362,1410,159,1,1,1,1,8,3,1,5,10,2
1363,1411,1420,2,1,1,2,5,6,2,2,8,2
1364,1412,973,6,3,2,3,9,1,1,5,18,1
1365,1413, ,2,4,1,3,7,7,1,3,10,2
1366,1415,1030,1,4,1,2,5,3,1,5,7,4
1367,1416, ,2,2,2,3,5,4,2,1,14,2
1368,1417,1026,4,1,1,1,1,3,2,5,13,2
1369,1418,1475,-1,-1,-1,-1,-1,3,2,6,11,4
1370,1419,144,6,1,1,2,6,3,1,1,15,1
1371,1420, ,3,1,1,1,9,1,1,5,17,2
1372,1421,1562,2,2,2,2,8,1,1,5,12,1
1373,1422,462,2,2,1,1,7,5,2,1,10,3
1374,1423,86,1,2,1,2,6,2,2,1,8,2
1375,1424,1087,2,2,1,2,4,2,2,6,13,1
1376,1425,525,4,2,2,2,4,4,2,1,3,1
1377,1426,599,2,2,2,2,6,1,1,5,13,3
1378,1427,1125,6,1,1,1,2,2,1,5,13,2
1379,1428,277,2,1,2,2,3,1,1,5,15,3
1380,1429,1062,7,1,1,1,1,5,1,1,2,2
1381,1430,1306,2,2,1,1,7,3,1,6,17,1
1382,1431,897,1,3,2,4,8,4,1,1,16,1
1383,1432,1494,6,1,1,2,5,6,1,3,5,2
1384,1433,270,4,3,1,2,5,6,2,3,17,2
1385,1434,1486,3,2,1,2,5,5,1,1,8,2
1386,1435, ,6,2,1,2,7,5,1,1,19,1
1387,1436, ,1,2,2,2,3,3,2,1,11,2
1388,1438,133,2,3,2,3,7,5,2,3,11,2
1389,1439,1043,6,2,1,2,5,3,2,1,12,2
1390,1440, ,6,2,1,3,6,6,2,2,11,1
1391,1441, ,3,2,2,2,9,4,1,6,9,2
1392,1442,468,6,3,3,3,8,5,2,5,11,2
1393,1443,1157,2,2,1,2,6,3,1,4,3,2
1394,1444,148,1,2,1,3,10,5,2,1,15,2
1395,1445,1091,4,1,2,1,7,5,2,1,8,1
1396,1446,194,2,2,1,2,5,5,1,3,7,1
1397,1447,292,2,2,2,3,5,1,1,5,13,1
1398,1448,1224,5,1,1,2,6,2,1,5,8,2
1399,1449,1509,3,2,1,3,7,6,1,5,9,2
1400,1450,1041,2,1,2,2,7,3,2,1,10,1
1401,1451, ,2,2,2,3,5,4,2,5,7,2
1402,1452,1161,1,2,2,2,6,3,2,5,3,2
1403,1453,1367,4,4,4,2,8,5,2,1,6,1
1404,1454,1361,2,1,1,2,6,7,1,5,5,2
1405,1455, ,7,1,1,1,2,4,2,1,13,1
1406,1456,1357,4,2,1,2,4,5,2,6,13,2
1407,1457, ,2,2,1,2,10,2,1,6,15,2
1408,1458,458,1,1,1,1,10,4,2,2,1,2
1409,1459,310,2,2,1,1,2,6,1,1,11,2
1410,1460,1279,3,4,1,1,7,3,1,5,13,2
1411,1461,796,1,2,1,2,9,5,1,3,15,2
1412,1462,224,2,2,1,2,9,3,1,5,10,2
1413,1463,762,7,2,1,3,4,6,1,1,15,1
1414,1464,1355,3,3,2,2,8,3,2,1,15,1
1415,1465,860,2,2,2,2,5,5,1,1,2,2
1416,1466, ,5,1,1,2,5,4,2,3,11,1
1417,1467, ,7,1,1,1,6,5,2,1,14,1
1418,1468,260,2,2,2,2,9,6,1,1,18,1
1419,1469, ,2,2,1,3,7,4,2,5,8,2
1420,1470, ,3,2,2,2,8,3,1,1,15,2
1421,1471,969,6,2,1,1,5,6,2,1,12,1
1422,1472,1246,6,2,2,3,8,1,2,5,14,2
1423,1473,894,3,1,1,2,6,5,1,1,15,2
1424,1474,780,3,4,3,2,8,6,2,5,13,2
1425,1475, ,3,2,2,2,3,4,1,3,3,2
1426,1476,1434,1,4,1,3,8,5,2,3,14,1
1427,1477,1134,3,1,1,1,7,5,2,1,8,1
1428,1478,359,5,2,2,2,8,4,2,5,12,2
1429,1479,404,1,2,2,1,8,4,1,1,2,2
1430,1480,979,3,1,3,2,7,5,1,1,17,2
1431,1481, ,6,2,1,4,7,6,1,1,11,4
1432,1482,1483,2,1,1,1,4,3,1,3,9,1
1433,1483,1137,2,2,1,2,-1,6,2,3,8,2
1434,1484,945,3,2,1,2,7,5,2,3,10,2
1435,1485,1130,3,2,1,2,8,6,1,1,12,1
1436,1486, ,5,2,1,3,7,6,1,1,16,2
1437,1487,840,4,4,4,4,10,3,2,3,6,2
1438,1488,1586,5,3,1,1,8,6,1,5,12,2
1439,1489, ,7,1,1,1,7,5,1,1,15,1
1440,1490, ,2,2,2,2,5,4,1,4,3,2
1441,1491,1476,7,2,1,1,7,4,2,3,16,2
1442,1492,1221,4,3,1,3,8,6,2,1,12,1
1443,1493,1356,4,2,1,2,5,6,1,1,1,2
1444,1494,297,6,2,1,2,6,5,1,1,13,2
1445,1495, ,-1,-1,-1,-1,-1,1,2,1,10,2
1446,1496,1146,6,1,1,1,1,3,2,3,7,2
1447,1497, ,3,2,1,2,6,2,1,1,12,4
1448,1498, ,2,3,3,3,10,3,2,1,16,1
1449,1499,879,1,4,2,2,10,6,1,1,19,2
1450,1500, ,1,1,1,1,10,6,1,3,16,1
1451,1501,472,7,1,2,1,10,5,2,1,15,1
1452,1503,1489,2,2,2,2,7,5,1,1,17,1
1453,1504,1027,3,1,1,2,4,3,2,1,16,2
1454,1505,301,5,2,1,2,6,5,2,3,12,2
1455,1506,932,2,2,3,3,2,6,2,1,10,1
1456,1507, ,2,1,1,2,1,3,2,5,6,2
1457,1508,1381,2,2,2,2,8,4,2,1,13,4
1458,1509, ,3,3,1,2,5,7,2,1,10,1
1459,1510, ,1,2,1,2,5,4,2,3,1,4
1460,1512, ,4,1,1,2,4,3,2,1,12,4
1461,1513, ,4,2,2,2,5,3,1,3,5,3
1462,1514, ,4,2,2,2,5,4,1,5,6,2
1463,1515, ,4,1,1,2,8,3,1,1,12,2
1464,1516,1396,3,2,1,3,5,3,2,1,12,2
1465,1517,1149,5,1,2,3,7,4,2,1,13,1
1466,1518, ,1,4,4,4,8,5,2,3,12,1
1467,1519, ,7,1,1,1,5,4,1,1,13,2
1468,1520, ,4,3,2,2,6,5,2,5,1,2
1469,1521, ,4,3,1,-1,7,7,2,2,7,2
1470,1522,967,4,2,2,3,5,3,1,4,7,4
1471,1523,710,2,3,3,3,9,5,1,1,18,2
1472,1524, ,5,1,1,1,3,5,2,1,12,1
1473,1525, ,7,1,1,1,5,1,2,1,11,1
1474,1526,1156,3,2,1,2,6,6,2,2,3,2
1475,1527, ,2,3,2,3,9,6,1,1,13,2
1476,1528, ,3,1,1,1,7,5,2,1,12,2
1477,1529,1530,2,2,1,2,6,5,1,1,13,2
1478,1530,366,2,3,2,2,8,5,2,1,17,3
1479,1531,399,2,2,1,3,6,2,2,1,9,1
1480,1532,1276,2,1,1,1,3,2,1,5,7,2
1481,1533,1331,2,2,1,2,7,4,2,5,12,2
1482,1534,1395,2,2,1,3,6,5,2,1,15,2
1483,1535,1531,2,2,2,3,8,4,1,5,6,2
1484,1536,554,7,1,1,1,6,4,1,1,13,2
1485,1537, ,6,1,1,1,1,3,2,1,8,2
1486,1538, ,7,1,1,2,8,7,2,2,4,2
1487,1539,1001,1,1,1,1,5,4,1,3,12,1
1488,1540, ,3,2,2,2,7,1,2,5,8,1
1489,1541,1514,6,1,1,1,1,6,2,3,3,1
1490,1542, ,-1,-1,-1,-1,-1,2,2,5,2,2
1491,1543, ,2,3,2,1,6,4,1,1,13,2
1492,1544, ,3,1,1,1,4,4,1,1,14,2
1493,1545,71,2,2,2,3,7,4,2,3,1,2
1494,1546,1204,6,1,1,2,6,6,2,3,14,2
1495,1547,83,2,3,2,2,7,5,1,5,7,2
1496,1548,1065,3,1,1,1,9,6,1,1,14,1
1497,1549,1643,3,2,1,1,1,6,2,3,12,2
1498,1550,1150,3,3,2,2,10,7,2,1,16,1
1499,1551,497,7,2,1,2,9,5,1,6,16,5
1500,1552,414,2,2,1,3,7,3,2,1,14,1
1501,1553,1311,7,1,1,1,3,5,2,2,7,1
1502,1554,382,4,2,1,2,4,5,2,1,6,2
1503,1555,152,3,2,1,2,7,5,2,3,9,2
1504,1556, ,3,2,1,3,5,5,2,1,14,2
1505,1558,353,6,1,1,4,5,3,1,1,4,1
1506,1559, ,2,2,2,2,8,5,2,1,17,3
1507,1560,1012,2,4,4,4,10,3,2,3,7,2
1508,1561,929,3,2,2,3,9,5,1,1,12,1
1509,1562, ,2,2,2,4,10,3,2,3,13,2
1510,1563, ,2,3,2,4,10,6,1,2,14,4
1511,1564,406,3,1,1,2,2,2,2,5,7,4
1512,1565, ,1,1,1,1,3,3,1,6,3,2
1513,1566,82,7,1,1,3,6,4,2,1,14,1
1514,1567,424,4,2,2,3,6,3,2,3,8,2
1515,1568,587,3,1,1,2,7,1,1,1,6,2
1516,1569, ,1,3,3,3,5,2,1,1,13,2
1517,1570,628,2,1,1,1,3,3,1,5,2,2
1518,1571, ,1,2,2,3,8,5,1,1,19,1
1519,1572,110,3,1,1,2,6,6,2,2,8,1
1520,1573,683,1,3,2,4,8,3,1,1,13,2
1521,1575,1345,5,1,2,1,7,3,2,1,16,2
1522,1576,1646,3,2,2,2,7,4,1,3,9,2
1523,1578,447,2,1,1,1,7,5,1,1,16,1
1524,1579, ,5,1,1,3,6,5,2,1,9,1
